"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)",CPMr,ROAS,"3-second video plays rate per impressions","Ad set name","Ad ID","Ad Efficiency Index","Campaign name","Ad set ID"
2026-06-30,2026-07-06,"000AIO - 001NYS - 002PEN - 003TSAasianmale - 004MULTI - 005SE - 006STT - 007VO - 008TOF - 009V2 - 01045s - 011FAI - 012YWO - 013USA - 014CL - 0150424",active,"7-day click or 1-day view",6,actions:offsite_conversion.fb_pixel_purchase,76445,1.072575,309.74666667,"Using campaign budget",0,1858.48,Ongoing,Average,"Above average","Below average - Bottom 35% of ads",81993,22.666325,1883,,0.986978,2.296538,2755,3.360043,0.674584,1820,1.021143,24.31133495,1.12298222,34.506604,"scaling - all - @nobl",120214918947730007,46.19171364,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"J2v1_000AIO - 001NYS - 002PEN - 003TSABluePen - 004WHT - 005SE - 006STT - 007VO - 008TOF - 009V1 - 01045s - 011FAI - 012YWO - 013USA - 014CL - 0150424",active,"7-day click or 1-day view",15,actions:offsite_conversion.fb_pixel_purchase,360295,1.086338,671.188,"Using campaign budget",0,10067.82,Ongoing,Average,"Above average","Below average - Bottom 20% of ads",391402,25.722454,8889,,1.132616,2.271067,17968,4.590677,0.560319,9050,1.112466,27.94326871,0.79840025,44.09865,"scaling - all - @nobl",120215885975110007,28.57218523,"usa - tof - all",120203688948410007
2026-06-30,2026-07-06,"video - June @besttravelfinds LP: Most",active,"7-day click",,,211,1.085308,,50000,Daily,7.07,Ongoing,-,-,-,229,30.873362,1,,7.07,0.436681,3,1.310044,2.356667,1,7.07,33.507109,0,18.777293,"usa -  ASC+ - tROAS Ad set",120216022896330007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"test - video - UGC Hate travelling - 2 - Copy",active,"7-day click",,,2,1,,50000,Daily,0.04,Ongoing,-,-,-,2,20,,,,,0,0,0,,,20,0,50,"usa -  ASC+ - tROAS Ad set",120216022896390007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"video - asmr locks - Copy",active,"7-day click",,,11,1,,50000,Daily,0.25,Ongoing,-,-,-,11,22.727273,,,,,0,0,0,,,22.72727273,0,45.454545,"usa -  ASC+ - tROAS Ad set",120216022896410007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"static - testimonials all in one",active,"7-day click",,,60,1.05,,50000,Daily,1.12,Ongoing,-,-,-,63,17.777778,,,,,0,0,0,,,18.66666667,0,,"usa -  ASC+ - tROAS Ad set",120216022896450007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"scaling - top 3 - listicle",active,"7-day click",,,1400,1.329286,,50000,Daily,43.31,Ongoing,-,-,-,1861,23.272434,28,,1.546786,1.504567,33,1.77324,1.312424,15,2.887333,30.93571429,0,12.896292,"usa -  ASC+ - tROAS Ad set",120216022896470007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"pen.v2 - all - scaling - safety advertorial - Copy",active,"7-day click",1,actions:offsite_conversion.fb_pixel_purchase,10481,1.093121,193,50000,Daily,193,Ongoing,Average,-,-,11457,16.845597,278,,0.694245,2.426464,535,4.669634,0.360748,228,0.846491,18.41427345,2.22150259,32.731081,"usa -  ASC+ - tROAS Ad set",120216022896510007,120.64025209,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"rep.sophie - all - scaling",active,"7-day click",,,2,1,,50000,Daily,0.02,Ongoing,-,-,-,2,10,,,,,0,0,0,,,10,0,,"usa -  ASC+ - tROAS Ad set",120216022896570007,0,"usa -  asc+ t-roas - all",120216022896320007
2026-06-30,2026-07-06,"waiting for this annie - all - scaling",active,"7-day click",,,4,1.25,,50000,Daily,0.03,Ongoing,-,-,-,5,6,,,,,0,0,0,,,7.5,0,20,"usa -  ASC+ - tROAS Ad set",120216022896620007,0,"usa -  asc+ t-roas - all",120216022896320007
